"probeset","qvalue_16h","most_associated_marker_16h","qvalue_32h","most_associated_marker_32h","bb4_expression_pattern","description"
"Contig4820_s_at",0.173901849,"7H.46",0.086175164,"1H.07","n/a","11/08/02 AAM61259.1   5e-74 (AY084698) similar to flavin-containing monooxygenase 3 [Arabidopsis thaliana]"
"Contig4823_at",0.009115692,"1H.04",0.05740891,"5H.44","n/a","11/07/02 T04146       5e-98 glossy1 homolog - rice (fragment) gb|AAB87722.1| glossy1 homolog [Oryza sativa]"
"Contig4824_at",0.250730457,"7H.50",0.03036029,"1H.05","n/a","01/29/03 AAK15447.1   3e-24 putative flavin-containing monooxygenase [Oryza sativa (japonica cultivar-group)]"
"Contig4825_at",0.00045608,"2H.66",9.18e-05,"1H.05","n/a"," 10/02/02 NP_200975.1  e-103 putative protein; protein id: At5g61670.1"
"Contig4826_at",0.097874303,"2H.66",4.05e-06,"1H.05","n/a","10/02/02 BAA88176.1   e-126 unnamed protein product [Oryza sativa (japonica cultivar-group)]"
"Contig4827_s_at",0.130437552,"2H.67",5.1e-05,"1H.47","n/a","11/06/02 CAD39334.1   6e-31 (AL662935) OSJNBa0094O15.2 [Oryza sativa (japonica cultivar-group)]"
"Contig4828_at",0.116719335,"2H.59",1.91e-05,"1H.06","n/a","10/13/02 CAD39334.1   e-104 (AL662935) OSJNBa0094O15.2 [Oryza sativa (japonica cultivar-group)]"
"Contig4829_at",0.047533106,"7H.23",0.035150623,"7H.03","n/a"," 11/08/02 P28038       e-122 Naringenin"
"Contig4830_at",0.00111997,"2H.66",6.66e-06,"1H.05","n/a"," 11/04/02 AAM61211.1   5e-81 aldehyde dehydrogenase"
"Contig4833_at",2.7e-06,"2H.66",7.35e-07,"4H.12","n/a","10/27/02 AAM92821.1   e-125 putative N-acetyl-gamma-glutamyl-phosphate reductase [Oryza sativa (japonica cultivar-group)]"
"Contig4834_s_at",0.060713841,"4H.02",0.001876397,"4H.05","n/a"," 01/29/03 NP_567930.1  5e-29 putative protein; protein id: At4g33640.1"
"Contig4836_s_at",0.002064781,"4H.33",0.000163881,"4H.33","n/a","<none>"
"Contig4837_at",0.223265166,"5H.09",0.005377142,"4H.32","n/a","11/06/02 T00420       4e-45 probable small nuclear ribonucleoprotein D2 [imported] - Arabidopsis thaliana"
"Contig4838_at",0.065809052,"5H.18",0.001378083,"1H.45","n/a"," 10/26/02 NP_566107.1  4e-49 (NM_130332) putative small nuclear ribonucleoprotein D2; protein id: At2g47640.1"
"Contig4839_at",3.63e-06,"3H.57",7.35e-07,"3H.57","n/a","10/13/02 T00420       5e-44 probable small nuclear ribonucleoprotein D2 [imported] - Arabidopsis thaliana"
"Contig4839_s_at",0.00055509,"3H.55",0.023684953,"4H.21","n/a","10/13/02 T00420       5e-44 probable small nuclear ribonucleoprotein D2 [imported] - Arabidopsis thaliana"
"Contig484_s_at",0.073933637,"7H.62",0.141560562,"4H.21","n/a","11/04/02 T02955       2e-42 probable cytochrome P450 monooxygenase - maize (fragment) emb|CAA06156.1| (AJ004810) cytochrome P450 monooxygenase [Zea mays]"
"Contig484_x_at",0.069315548,"7H.62",0.117945292,"4H.23","n/a","11/04/02 T02955       2e-42 probable cytochrome P450 monooxygenase - maize (fragment) emb|CAA06156.1| (AJ004810) cytochrome P450 monooxygenase [Zea mays]"
"Contig4842_s_at",2.7e-06,"5H.42",1.85e-06,"5H.41","n/a"," 11/06/02 NP_195496.1  9e-25 putative protein; protein id: At4g37830.1"
"Contig4843_at",1.99e-06,"5H.42",7.35e-07,"5H.42","n/a"," 11/06/02 NP_195496.1  4e-25 putative protein; protein id: At4g37830.1"
"Contig4844_s_at",0.301269481,"1H.02",0.218275651,"1H.18","PacMan","11/06/02 NP_179444.1  7e-05 putative vicilin storage protein (globulin-like) [Arabidopsis thaliana]"
"Contig4845_at",0.225602855,"6H.44",0.136405696,"1H.28","n/a","11/04/02 BAB85384.1   5e-70 (AP003924) hypothetical protein [Oryza sativa (japonica cultivar-group)]"
"Contig4846_at",3.81e-05,"2H.63",0.035635047,"2H.68","n/a"," 10/13/02 NP_176892.1  5e-39 (NM_105392) nuclear matrix constituent protein 1"
"Contig4847_s_at",0.000175862,"2H.63",0.039533433,"7H.29","n/a","<none>"
"Contig4848_at",0.135882718,"5H.45",0.188257992,"5H.51","n/a","11/06/02 AAF36454.1   e-110 ubiquitin-protein ligase 1 [Arabidopsis thaliana]"
"Contig4849_s_at",0.010168003,"3H.12",7.35e-07,"3H.10","n/a","10/26/02 AAF21428.1   7e-62 suppressor of K+ transport growth defect-like protein [Mesembryanthemum crystallinum]"
"Contig4852_at",1.99e-06,"2H.67",0.083860179,"2H.28","n/a","11/08/02 NP_200364.1  1e-42 putative protein; protein id: At5g55530.1 [Arabidopsis thaliana] dbj|BAB08570.1| gene_id:MTE17.25~pir||T07080~similar to unknown protein"
"Contig4853_at",0.059555171,"3H.50",7.35e-07,"1H.05","n/a","11/06/02 O04226       e-103 Delta 1-pyrroline-5-carboxylate synthetase (P5CS) [Includes: Glutamate 5-kinase (Gamma-glutamyl kinase) (GK);"
"Contig4855_s_at",1.72e-05,"2H.66",0.000729648,"1H.05","iPacMan","<none>"
"Contig4857_at",0.052012761,"6H.17",0.084784905,"1H.03","n/a"," 11/08/02 NP_189058.1  9e-37 type 1 membrane protein"
"Contig4859_at",0.000559722,"2H.63",0.046364035,"2H.33","n/a","10/02/02 AAM66997.1   7e-50 unknown [Arabidopsis thaliana]"
"Contig4860_at",0.179184101,"1H.04",0.045996768,"4H.02","n/a","11/04/02 AAM66997.1   7e-51 unknown [Arabidopsis thaliana]"
"Contig4861_at",8.18e-05,"2H.66",7.35e-07,"1H.05","n/a","10/13/02 T07780       9e-22 remorin - potato gb|AAB49425.1| remorin [Solanum tuberosum]"
"Contig4863_at",0.006575298,"5H.19",0.00527543,"1H.06","n/a","<none>"
"Contig4864_at",0.028805048,"6H.06",0.001414918,"6H.06","n/a","10/27/02 CAA98160.1   4e-93 RAB1C [Lotus japonicus]"
"Contig4865_at",2.7e-06,"2H.66",0.003601954,"6H.22","n/a","11/06/02 CAA98160.1   6e-88 RAB1C [Lotus japonicus]"
"Contig4865_s_at",3.63e-06,"2H.66",0.009243612,"3H.01","n/a","11/06/02 CAA98160.1   6e-88 RAB1C [Lotus japonicus]"
"Contig4867_s_at",3.12e-05,"2H.66",0.00491338,"1H.03","PacMan","10/13/02 CAA98160.1   3e-98 RAB1C [Lotus japonicus]"
"Contig4868_at",0.000435255,"2H.67",0.012023776,"1H.05","n/a"," 11/06/02 NP_566968.1  6e-66 E2"
"Contig4869_s_at",0.114023623,"1H.04",0.103467337,"5H.45","n/a","10/31/02 AAD19962.1   5e-10 LGC1 [Lilium longiflorum]"
"Contig487_s_at",0.031858602,"2H.67",0.02096812,"4H.19","n/a","11/06/02 T06458       1e-22 nucleolin homolog - garden pea gb|AAA74208.1| protein localized in the nucleoli of pea nuclei; ORF; putative"
"Contig4873_s_at",0.008767625,"2H.63",0.000268429,"2H.67","n/a"," 11/04/02 NP_568447.1  2e-23 (NM_122357) putative protein; protein id: At5g24490.1"
"Contig4874_at",0.042406096,"1H.26",0.091686316,"1H.26","n/a"," 11/08/02 P19954       2e-12 Plastid-specific 30S ribosomal protein 1"
"Contig4875_at",0.150116978,"5H.59",0.029344508,"3H.10","iPacMan","10/13/02 CAB75506.1   e-119 VIP2 protein [Avena fatua]"
"Contig4876_at",0.121694429,"3H.50",8.5e-06,"1H.08","n/a","11/06/02 BAB89552.1   8e-61 P0435B05.31 [Oryza sativa (japonica cultivar-group)] dbj|BAB89686.1| P0503C12.10 [Oryza sativa (japonica cultivar-group)]"
"Contig4877_at",0.002130303,"1H.04",0.065840605,"7H.45","n/a"," 10/27/02 NP_200165.1  e-110 vacuolar sorting protein-like; embryogenesis protein H beta 58-like protein; protein id: At5g53530.1"
"Contig4878_at",0.123257192,"2H.32",0.003151253,"1H.06","n/a","10/29/02 BAC16488.1   e-106 putative transcription factor APFI [Oryza sativa (japonica cultivar-group)]"
"Contig4879_at",0.143670328,"5H.13",9.45e-05,"1H.09","n/a"," 11/08/02 NP_566191.1  3e-35 expressed protein; protein id: At3g03070.1"
"Contig488_at",0.121893078,"3H.19",0.000312805,"2H.44","n/a"," 11/06/02 NP_180441.1  2e-43 (NM_128434) histone H4; protein id: At2g28740.1"
"Contig4880_at",0.021716885,"2H.63",0.001561206,"1H.09","n/a","11/06/02 AAK54618.1   e-114 glucose-6-phosphate/phosphate translocator [Oryza sativa]"
"Contig4880_x_at",0.059454775,"5H.20",0.002371607,"1H.09","n/a","11/06/02 AAK54618.1   e-114 glucose-6-phosphate/phosphate translocator [Oryza sativa]"
"Contig4883_at",0.090755322,"4H.03",0.00023749,"1H.05","n/a","11/08/02 AAL75900.1   1e-96 (AY074847) AT4g38220/F20D10_340 [Arabidopsis thaliana]"
"Contig4886_at",0.268217493,"3H.51",1.3e-06,"1H.05","n/a"," 10/27/02 NP_568839.1  7e-99 COP9 complex subunit 6 CSN6"
"Contig4887_s_at",0.338733217,"1H.35",0.141451337,"7H.16","n/a","10/13/02 P12412       7e-21 Vignain precursor (Bean endopeptidase) (Cysteine proteinase) (Sulfhydryl-endopeptidase) (SH-EP)"
"Contig4890_at",0.229913785,"6H.11",7.35e-07,"1H.05","n/a","10/13/02 O64464       e-114 Proteasome subunit beta type 1 (20S proteasome alpha subunit F) (20S proteasome subunit beta-6)"
"Contig4891_at",0.003342222,"5H.39",7.35e-07,"5H.17","n/a"," 10/29/02 NP_173562.1  e-105 (NM_101992) branched-chain alpha keto-acid dehydrogenase"
"Contig4893_at",0.086421476,"5H.55",7.35e-07,"1H.05","n/a","10/02/02 AAF29978.1   e-115 isopentenyl pyrophosphate:dimethyllallyl pyrophosphate isomerase [Oryza sativa]"
"Contig4894_at",0.006535862,"2H.67",0.000504068,"5H.40","n/a","<none>"
"Contig4895_at",0.026675273,"2H.68",0.003367663,"5H.40","n/a"," 10/26/02 NP_565723.1  2e-33 (NM_128698) expressed protein; protein id: At2g31410.1"
"Contig4895_s_at",0.000632943,"2H.67",0.006830609,"5H.40","n/a"," 10/26/02 NP_565723.1  2e-33 (NM_128698) expressed protein; protein id: At2g31410.1"
"Contig4896_at",0.07208562,"2H.66",0.035106846,"2H.61","n/a","10/27/02 BAA94238.1   8e-69 unnamed protein product [Oryza sativa (japonica cultivar-group)] dbj|BAB55732.1| OSJNBa0038J17.24 [Oryza sativa (japonica cultivar-group)]"
"Contig4897_at",2.7e-06,"2H.65",0.201137301,"1H.05","n/a","11/06/02 BAA94238.1   5e-82 unnamed protein product [Oryza sativa (japonica cultivar-group)] dbj|BAB55732.1| OSJNBa0038J17.24 [Oryza sativa (japonica cultivar-group)]"
"Contig4899_s_at",0.210092316,"3H.46",0.147922336,"6H.04","n/a","11/08/02 AAF86307.1   2e-46 EF-hand Ca2+-binding protein CCD1 [Triticum aestivum]"
"Contig49_x_at",0.279381102,"3H.12",0.220241645,"5H.06","n/a","<none>"
"Contig4900_at",0.000626135,"2H.66",0.000704199,"1H.05","n/a","10/25/02 NP_180826.1  1e-096 (NM_128826) putative synaptobrevin; protein id: At2g32670.1 [Arabidopsis thaliana]"
"Contig4901_at",0.000683225,"4H.13",0.099708185,"4H.13","n/a","<none>"
"Contig4901_s_at",0.009368665,"4H.15",7.35e-07,"1H.06","n/a","<none>"
"Contig4902_at",0.062826926,"3H.50",0.097835533,"6H.33","n/a","<none>"
"Contig4904_at",0.05765378,"3H.44",2.97e-06,"1H.06","n/a","10/28/02 BAA94212.1   9e-097 unnamed protein product [Oryza sativa (japonica cultivar-group)] dbj|BAB16478.1| P0665D10.3 [Oryza sativa (japonica cultivar-group)]"
"Contig4905_at",0.033456308,"2H.66",7.35e-07,"1H.05","n/a","11/06/02 AAL77110.1   e-111 unknown [Hordeum vulgare]"
"Contig4905_s_at",0.00555833,"2H.63",7.35e-07,"1H.05","n/a","11/06/02 AAL77110.1   e-111 unknown [Hordeum vulgare]"
"Contig4906_at",0.183668153,"3H.39",0.170462173,"1H.28","n/a","10/27/02 T03439       2e-84 probable ethylene-response protein - rice gb|AAB72193.1| (AF013979) ethylene responsive factor [Oryza sativa]"
"Contig4907_s_at",0.1691941,"3H.39",0.219064762,"3H.01","PacMan","10/02/02 T03439       2e-74 probable ethylene-response protein - rice gb|AAB72193.1| (AF013979) ethylene responsive factor [Oryza sativa]"
"Contig4908_at",0.116575305,"5H.42",0.060491036,"3H.28","n/a","10/13/02 CAD41105.1   1e-99 OSJNBb0011N17.22 [Oryza sativa (japonica cultivar-group)]"
"Contig4909_at",0.034449783,"2H.66",1.3e-06,"1H.08","n/a","11/08/02 NP_190998.1  1e-85 synaptobrevin -like protein; protein id: At3g54300.1 [Arabidopsis thaliana]"
"Contig491_s_at",0.057252508,"2H.66",0.09237423,"1H.46","n/a","11/08/02 T46636       7e-55 glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) [imported] - Hordeum sp. x Triticum sp"
"Contig4910_at",0.041957669,"4H.18",0.011129902,"1H.08","n/a","11/07/02 T01354       4e-62 herbicide safener binding protein 1 - maize gb|AAC12715.1| herbicide safener binding protein [Zea mays]"
"Contig4911_at",0.123095735,"5H.54",0.05044156,"1H.06","n/a","10/13/02 T01354       1e-60 herbicide safener binding protein 1 - maize gb|AAC12715.1| herbicide safener binding protein [Zea mays]"
"Contig4913_at",0.004621947,"2H.63",2.09e-05,"1H.06","iPacMan","11/06/02 AAL08291.1   7e-91 AT5g64840/MXK3_6 [Arabidopsis thaliana] gb|AAN18079.1| At5g64840/MXK3_6 [Arabidopsis thaliana]"
"Contig4914_s_at",3.12e-05,"2H.65",0.069469514,"6H.36","n/a"," 09/30/02 NP_567219.1  8e-24 (NM_116425) putative NifU-like metallocluster assembly factor; protein id: At4g01940.1"
"Contig4915_at",0.000105191,"2H.63",0.200392411,"4H.22","n/a"," 10/04/02 NP_567219.1  6e-54 (NM_116425) putative NifU-like metallocluster assembly factor; protein id: At4g01940.1"
"Contig4916_at",0.141199312,"5H.14",1.85e-06,"1H.05","n/a"," 10/27/02 NP_193072.1  2e-90 3-hydroxyisobutyryl-coenzyme A hydrolase - like protein; protein id: At4g13360.1"
"Contig4917_at",0.266343571,"5H.34",0.092676318,"5H.43","n/a","10/27/02 T01699       e-101 aldehyde oxidase (EC 1.2.3.1) 2 - maize dbj|BAA23227.1| aldehyde oxidase-2 [Zea mays]"
"Contig4919_at",0.089337934,"4H.03",0.136908973,"5H.45","n/a","01/29/03 T01699       1e-90 aldehyde oxidase (EC 1.2.3.1) 2 - maize dbj|BAA23227.1| aldehyde oxidase-2 [Zea mays]"
"Contig4920_s_at",0.08088463,"1H.03",0.000336295,"1H.05","n/a","11/08/02 T01698       e-119 aldehyde oxidase (EC 1.2.3.1) - maize dbj|BAA23226.1| (D88451) aldehyde oxidase [Zea mays]"
"Contig4921_at",0.125372267,"2H.67",7.17e-06,"1H.06","n/a","10/29/02 T00607       5e-81 hypothetical protein At2g02560 [imported] - Arabidopsis thaliana gb|AAC18930.1| unknown protein [Arabidopsis thaliana]"
"Contig4922_s_at",2.7e-06,"2H.68",0.244381876,"4H.04","n/a","10/26/02 T00607       2e-72 hypothetical protein At2g02560 [imported] - Arabidopsis thaliana gb|AAC18930.1| unknown protein [Arabidopsis thaliana]"
"Contig4923_at",1.99e-06,"5H.09",7.35e-07,"5H.09","n/a","11/04/02 T00607       3e-23 hypothetical protein At2g02560 [imported] - Arabidopsis thaliana gb|AAC18930.1| unknown protein [Arabidopsis thaliana]"
"Contig4927_s_at",0.005179344,"2H.66",8.87e-06,"1H.05","n/a","<none>"
"Contig4928_at",8.64e-05,"2H.66",7.35e-07,"1H.05","n/a","11/08/02 BAB62170.1   e-105 (AB066298) glutamate dehydrogenase [Brassica napus]"
"Contig4930_at",7.25e-05,"2H.63",0.000508559,"1H.08","n/a","11/08/02 CAC44501.1   9e-99 beta-galactosidase [Fragaria x ananassa]"
"Contig4931_at",0.025160435,"1H.03",0.028931796,"1H.05","n/a"," 10/27/02 NP_177713.1  e-106 (NM_106235) vacuolor sorting protein 35"
"Contig4932_at",0.221758581,"2H.31",0.002484744,"5H.46","n/a","10/02/02 Q9ZTS1       e-126 Probable methionyl-tRNA synthetase (Methionine--tRNA ligase) (MetRS)"
"Contig4933_at",0.005252363,"2H.67",0.002105225,"5H.44","n/a","11/08/02 Q9ZTS1       4e-91 Probable methionyl-tRNA synthetase (Methionine--tRNA ligase) (MetRS)"
"Contig4935_at",0.000214456,"2H.63",0.081305452,"4H.20","n/a","01/29/03 BAB89422.1   1e-83 lysophospholipase - like [Oryza sativa (japonica cultivar-group)]"
"Contig4938_s_at",0.020687325,"2H.65",7.35e-07,"1H.05","n/a","11/08/02 AAG00253.1   e-120 (AC002130) F1N21.10 [Arabidopsis thaliana]"
"Contig494_at",0.172730254,"2H.11",0.141988635,"1H.11","n/a","10/02/02 S53518       1e-45 histone H2A.2 - wheat dbj|BAA07276.1| protein H2A [Triticum aestivum]"
"Contig4941_at",0.114345026,"7H.13",7.35e-07,"1H.05","n/a","09/30/02 AAL82595.1   1e-96 farnesyl pyrophosphare synthase [Musa acuminata]"
"Contig4941_s_at",0.046045946,"4H.32",7.35e-07,"1H.05","iPacMan","09/30/02 AAL82595.1   1e-96 farnesyl pyrophosphare synthase [Musa acuminata]"
"Contig4942_at",2.7e-06,"2H.65",0.008065744,"5H.54","n/a"," 10/13/02 NP_568750.1  3e-80 (NM_124486) ATP-dependent Clp protease ATP-binding subunit (ClpD)"
"Contig4944_s_at",0.250281297,"4H.28",0.042691789,"3H.05","n/a","10/13/02 BAB03360.1   6e-56 unnamed protein product [Oryza sativa (japonica cultivar-group)]"
"Contig4946_at",0.031111033,"5H.14",0.074258496,"5H.37","n/a","11/08/02 AAK70906.1   3e-34 (AC087551) putative tetrafunctional protein for glyoxysomal fatty acid beta-oxidation [Oryza sativa]"
"Contig4948_s_at",0.001332837,"2H.66",0.008753854,"1H.08","iPacMan","11/08/02 NP_192015.1  1e-12 (NM_116336) myb family transcription factor; protein id: At4g01060.1 [Arabidopsis thaliana]"
"Contig4949_at",0.000296052,"2H.66",0.115096336,"3H.30","n/a"," 10/02/02 NP_563743.1  e-119 callose synthase (CalS1)"
"Contig4951_at",1.99e-06,"7H.43",7.35e-07,"7H.43","n/a"," 10/13/02 Q42836       e-113 Delta-aminolevulinic acid dehydratase"
"Contig4952_s_at",4.29e-05,"2H.65",7.35e-07,"1H.05","n/a"," 11/06/02 NP_199831.1  4e-27 putative protein; protein id: At5g50200.1"
"Contig4952_x_at",5.83e-06,"2H.65",7.35e-07,"1H.05","n/a"," 11/06/02 NP_199831.1  4e-27 putative protein; protein id: At5g50200.1"
"Contig4953_at",0.211737237,"6H.48",0.056769576,"2H.18","n/a"," 11/06/02 NP_199831.1  1e-29 putative protein; protein id: At5g50200.1"
"Contig4954_at",0.000144799,"4H.04",0.143862045,"4H.33","n/a","11/06/02 AAL83638.1   7e-05 putative sugar-starvation induced protein [Oryza sativa (japonica cultivar-group)]"
"Contig4954_s_at",0.004995511,"4H.07",0.014277347,"4H.06","n/a","11/06/02 AAL83638.1   7e-05 putative sugar-starvation induced protein [Oryza sativa (japonica cultivar-group)]"
"Contig4955_s_at",0.040919194,"2H.67",0.131527301,"2H.52","n/a","10/29/02 AAL83638.1   3e-60 putative sugar-starvation induced protein [Oryza sativa (japonica cultivar-group)]"
"Contig4956_at",0.033620679,"4H.05",0.190276594,"5H.06","n/a","10/13/02 AAL83638.1   9e-73 putative sugar-starvation induced protein [Oryza sativa (japonica cultivar-group)]"
"Contig4958_at",0.107829988,"3H.10",0.267156558,"6H.23","n/a","10/27/02 BAB92272.1   5e-69 (AP003232) putative cyclin Ia [Oryza sativa (japonica cultivar-group)]"
"Contig4961_s_at",0.000244594,"2H.65",0.01568443,"3H.20","n/a","<none>"
"Contig4963_at",0.00029968,"2H.66",7.35e-07,"1H.05","PacMan","10/13/02 CAD40552.1   e-125 OSJNBa0072K14.8 [Oryza sativa (japonica cultivar-group)]"
"Contig4964_at",0.240211604,"7H.15",0.233478728,"2H.67","n/a","10/27/02 Q9X6W8       6e-56 ATP-dependent Clp protease proteolytic subunit (Endopeptidase Clp) gb|AAD37435.1|AF150957_2 heat-shock protein ClpP [Azospirillum brasilense"
"Contig4965_at",0.096374209,"3H.11",0.030300364,"1H.04","n/a","10/25/02 P49730       e-104 RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SMALL CHAIN (RIBONUCLEOTIDE REDUCTASE) (R2 SUBUNIT)"
"Contig4967_at",0.065823633,"2H.11",0.095391778,"6H.13","n/a","11/06/02 P42743       4e-83 Ubiquitin-conjugating enzyme E2-18 kDa (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (PM42)"
"Contig4967_s_at",4.44e-05,"5H.03",0.096175095,"1H.05","n/a","11/06/02 P42743       4e-83 Ubiquitin-conjugating enzyme E2-18 kDa (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (PM42)"
"Contig4969_at",0.135743389,"5H.13",7.35e-07,"1H.05","n/a","10/13/02 AAL87160.1   e-114 putative carbamoyl phosphate synthetase small subunit [Oryza sativa (japonica cultivar-group)]"
"Contig497_s_at",0.00611914,"2H.65",1.26e-05,"1H.08","n/a"," 11/04/02 BAB19812.1   6e-60 ribulose-1"
"Contig4970_at",0.000890179,"5H.41",7.35e-07,"1H.05","n/a","11/04/02 T51281       e-114 beta-D-glucan exohydrolase (EC 3.2.1.-) isoenzyme ExoI [imported] - barley"
"Contig4973_s_at",0.088131317,"3H.50",0.030049566,"1H.08","n/a","<none>"
"Contig4975_at",0.265112577,"6H.04",0.108911825,"1H.05","n/a"," 01/29/03 NP_191101.1  e-126 2-oxoglutarate dehydrogenase"
"Contig4976_at",0.252215214,"3H.49",0.076501085,"5H.25","n/a"," 11/06/02 BAC05572.1   e-123 (AP003332) contains EST D24834(R2633)~similar to Arabidopsis thaliana chromosome 5"
"Contig4978_at",0.006871534,"3H.56",0.000391912,"3H.56","n/a","10/02/02 T45819       4e-28 villin 3 homolog F28O9.260 - Arabidopsis thaliana (fragment) emb|CAB68147.1| (AL137080) villin 3 fragment [Arabidopsis thaliana]"
"Contig4979_at",0.00060101,"2H.64",0.018843896,"5H.39","n/a","10/02/02 AAM93681.1   4e-69 putative ribosomal protein [Oryza sativa (japonica cultivar-group)]"
"Contig4981_s_at",0.00020574,"2H.67",0.015777977,"4H.20","n/a","11/08/02 AAM93681.1   3e-17 putative ribosomal protein [Oryza sativa (japonica cultivar-group)]"
"Contig4982_at",0.000218909,"2H.67",0.128002885,"1H.05","n/a","11/04/02 AAM93681.1   4e-60 putative ribosomal protein [Oryza sativa (japonica cultivar-group)]"
"Contig4983_s_at",4.07e-05,"2H.67",0.099007405,"4H.21","n/a","01/29/03 AAM93681.1   1e-12 putative ribosomal protein [Oryza sativa (japonica cultivar-group)]"
"Contig4984_at",2.7e-06,"2H.66",0.029127781,"1H.08","n/a","10/27/02 AAK98716.1   e-103 Hypothetical protein [Oryza sativa]"
"Contig4985_at",0.020490011,"5H.20",1.34e-05,"1H.06","n/a","11/08/02 P46290       1e-47 60S ribosomal protein L31 gb|AAA80638.1| ribosomal protein L31"
"Contig4986_at",8.12e-05,"2H.66",7.35e-07,"1H.05","PacMan","10/02/02 CAD38519.1   4e-83 allene oxide cyclase [Oryza sativa (japonica cultivar-group)]"
"Contig4988_at",4.23e-05,"2H.66",2.86e-05,"1H.05","n/a"," 11/04/02 NP_193652.1  3e-71 (NM_118036) 9-cis-epoxycarotenoid dioxygenase (neoxanthin cleavage enzyme)(NC1)(NCED1)"
"Contig4989_at",0.312138188,"5H.15",0.15656697,"5H.06","n/a"," 10/27/02 NP_178062.1  3e-18 succinic semialdehyde dehydrogenase (gabD)"
"Contig499_x_at",0.116852117,"2H.15",0.215994759,"6H.35","n/a","10/02/02 HSWT41       2e-39 histone H4 (TH091) - wheat gb|AAA34292.1| histone H4"
"Contig4991_s_at",0.007356411,"2H.67",0.143385867,"2H.61","n/a"," 10/02/02 AAD30232.1   3e-28 (AC007202) Is a member of the PF|00171 aldehyde dehydrogenase family. ESTs gb|T21534"
"Contig4992_at",0.05314595,"3H.24",0.069098894,"1H.11","n/a"," 11/06/02 AAD30232.1   4e-91 (AC007202) Is a member of the PF|00171 aldehyde dehydrogenase family. ESTs gb|T21534"
"Contig4994_at",0.000223677,"2H.66",6.67e-05,"3H.36","n/a","<none>"
"Contig4994_s_at",8.18e-05,"2H.66",1.3e-06,"1H.07","n/a","<none>"
"Contig4995_at",1.99e-06,"3H.04",7.35e-07,"3H.04","n/a","11/06/02 AAK20744.1   e-114 TAK14 [Triticum aestivum]"
"Contig4995_x_at",1.99e-06,"3H.04",7.35e-07,"3H.04","n/a","11/06/02 AAK20744.1   e-114 TAK14 [Triticum aestivum]"
"Contig4996_at",1.99e-06,"3H.04",7.35e-07,"3H.02","n/a","11/06/02 AAK20741.1   2e-79 TAK33 [Triticum aestivum]"
"Contig4997_s_at",8.18e-05,"3H.04",7.35e-07,"3H.03","n/a","10/13/02 AAD43962.1   4e-90 (U78762) receptor-like kinase ARK1AS [Triticum aestivum]"
"Contig4998_s_at",1.32e-05,"3H.04",7.35e-07,"3H.02","n/a","11/07/02 AAK20741.1   1e-82 TAK33 [Triticum aestivum]"
"Contig4999_at",1.99e-06,"3H.04",7.35e-07,"3H.04","n/a","11/08/02 AAK20744.1   4e-61 TAK14 [Triticum aestivum]"
"Contig5_x_at",0.213716541,"6H.44",0.184148858,"6H.10","PacMan","11/06/02 CAB64342.1   5e-84 (AJ251931) BTI-CMe2.1 [Hordeum vulgare subsp. vulgare]"
"Contig50_x_at",0.002566717,"1H.05",2.82e-05,"1H.05","n/a","10/13/02 CAB71340.2   6e-27 putative proteinase inhibitor [Hordeum vulgare subsp. vulgare]"
"Contig500_at",0.20049288,"5H.17",0.268586387,"3H.18","n/a","10/02/02 HSWT41       2e-39 histone H4 (TH091) - wheat gb|AAA34292.1| histone H4"
"Contig5000_at",1.99e-06,"3H.04",7.35e-07,"3H.04","n/a","11/07/02 BAB17347.1   e-111 (AP002747) putative receptor kinase [Oryza sativa (japonica cultivar-group)]"
"Contig5000_x_at",1.99e-06,"3H.04",7.35e-07,"3H.04","n/a","11/07/02 BAB17347.1   e-111 (AP002747) putative receptor kinase [Oryza sativa (japonica cultivar-group)]"
"Contig5001_s_at",0.129650839,"5H.20",0.022635299,"1H.07","n/a"," 11/04/02 NP_568877.1  4e-16 Expressed protein; protein id: At5g58375.1"
"Contig5002_at",0.219637778,"4H.19",0.270005173,"1H.18","iPacMan"," 01/29/03 NP_568877.1  2e-13 Expressed protein; protein id: At5g58375.1"
"Contig5003_at",0.000579077,"2H.68",0.006710493,"2H.66","n/a"," 11/08/02 NP_563657.1  e-101 ATP-dependent Clp protease proteolytic subunit (ClpP5); protein id: At1g02560.1"
"Contig5004_at",0.201004001,"5H.56",0.001248549,"1H.08","n/a"," 11/08/02 P82231       2e-71 Ribosome recycling factor"
"Contig5005_at",0.095105094,"1H.02",0.242817936,"7H.52","n/a"," 11/08/02 NP_173250.1  2e-56 terminal Flower 1 (TFL1)"
"Contig5007_at",0.134751667,"4H.18",0.002966507,"1H.05","n/a","11/06/02 BAB08003.1   5e-97 Adenine phosphoribosyltransferase [Hordeum vulgare subsp. vulgare]"
"Contig5009_at",0.004159959,"4H.32",6.87e-05,"1H.06","n/a","11/08/02 Q9FVI2       8e-58 Actin-depolymerizing factor 1 (ADF 1) gb|AAG16973.1|AF183903_1 actin-depolymerizing factor 1 [Petunia x hybrida]"
